time,x_diff,y_diff,theta_diff,x_ackermann,y_ackermann,theta_ackermann
6.35,8.12988,3.61183,0.943476,8.12988,3.61183,0.943476
6.4,8.1739,3.67255,0.943476,8.1739,3.67255,0.943476
6.45,8.21793,3.73327,0.943476,8.21793,3.73327,0.943476
6.5,8.26195,3.79399,0.943476,8.26195,3.79399,0.943476
6.55,8.30597,3.85471,0.943476,8.30597,3.85471,0.943476
6.6,8.35,3.91543,0.943476,8.35,3.91543,0.943476
6.65,8.39402,3.97615,0.943476,8.39402,3.97615,0.943476
6.7,8.43804,4.03687,0.943476,8.43804,4.03687,0.943476
6.75,8.48207,4.09759,0.943476,8.48207,4.09759,0.943476
6.8,8.52609,4.15831,0.943476,8.52609,4.15831,0.943476
6.85,8.57011,4.21903,0.943476,8.57011,4.21903,0.943476
6.9,8.61414,4.27975,0.943476,8.61414,4.27975,0.943476
6.95,8.65816,4.34047,0.943476,8.65816,4.34047,0.943476
7,8.70218,4.40119,0.943476,8.70218,4.40119,0.943476
7.05,8.74621,4.46191,0.928009,8.74621,4.46191,0.928009
7.1,8.79116,4.52194,0.912542,8.79116,4.52194,0.912542
7.15,8.83704,4.58127,0.897075,8.83704,4.58127,0.897075
7.2,8.88384,4.63989,0.881608,8.88384,4.63989,0.881608
7.25,8.93153,4.69777,0.866141,8.93153,4.69777,0.866141
7.3,8.98011,4.75491,0.850675,8.98011,4.75491,0.850675
7.35,9.02957,4.81129,0.835208,9.02957,4.81129,0.835208
7.4,9.0799,4.86689,0.819741,9.0799,4.86689,0.819741
7.45,9.13108,4.92172,0.804274,9.13108,4.92172,0.804274
7.5,9.1831,4.97574,0.788807,9.1831,4.97574,0.788807
7.55,9.23596,5.02895,0.773341,9.23596,5.02895,0.773341
7.6,9.28962,5.08134,0.757874,9.28962,5.08134,0.757874
7.65,9.3441,5.1329,0.742407,9.3441,5.1329,0.742407
7.7,9.39936,5.1836,0.72694,9.39936,5.1836,0.72694
7.75,9.4554,5.23345,0.711473,9.4554,5.23345,0.711473
7.8,9.51221,5.28242,0.696007,9.51221,5.28242,0.696007
7.85,9.56976,5.3305,0.68054,9.56976,5.3305,0.68054
7.9,9.62805,5.3777,0.665073,9.62805,5.3777,0.665073
7.95,9.68707,5.42398,0.649606,9.68707,5.42398,0.649606
8,9.74679,5.46934,0.634139,9.74679,5.46934,0.634139
8.05,9.80721,5.51378,0.618672,9.80721,5.51378,0.618672
8.1,9.86831,5.55728,0.603206,9.86831,5.55728,0.603206
8.15,9.93007,5.59982,0.587739,9.93007,5.59982,0.587739
8.2,9.99249,5.64141,0.572272,9.99249,5.64141,0.572272
8.25,10.0555,5.68203,0.556805,10.0555,5.68203,0.556805
8.3,10.1192,5.72166,0.541338,10.1192,5.72166,0.541338
8.35,10.1835,5.76031,0.525872,10.1835,5.76031,0.525872
8.4,10.2484,5.79796,0.510405,10.2484,5.79796,0.510405
8.45,10.3138,5.8346,0.494938,10.3138,5.8346,0.494938
8.5,10.3798,5.87022,0.479471,10.3798,5.87022,0.479471
8.55,10.4463,5.90482,0.464004,10.4463,5.90482,0.464004
8.6,10.5134,5.93838,0.448538,10.5134,5.93838,0.448538
8.65,10.581,5.97091,0.433071,10.581,5.97091,0.433071
8.7,10.6491,6.00238,0.417604,10.6491,6.00238,0.417604
8.75,10.7176,6.0328,0.402137,10.7176,6.0328,0.402137
8.8,10.7866,6.06215,0.38667,10.7866,6.06215,0.38667
8.85,10.8561,6.09043,0.371203,10.8561,6.09043,0.371203
8.9,10.926,6.11764,0.355737,10.926,6.11764,0.355737
8.95,10.9963,6.14376,0.34027,10.9963,6.14376,0.34027
9,11.067,6.16879,0.324803,11.067,6.16879,0.324803
9.05,11.1381,6.19273,0.309336,11.1381,6.19273,0.309336
9.1,11.2095,6.21556,0.293869,11.2095,6.21556,0.293869
9.15,11.2813,6.23728,0.278403,11.2813,6.23728,0.278403
9.2,11.3534,6.25789,0.262936,11.3534,6.25789,0.262936
9.25,11.4258,6.27739,0.247469,11.4258,6.27739,0.247469
9.3,11.4985,6.29576,0.232002,11.4985,6.29576,0.232002
9.35,11.5715,6.313,0.216535,11.5715,6.313,0.216535
9.4,11.6448,6.32912,0.201069,11.6448,6.32912,0.201069
9.45,11.7183,6.3441,0.185602,11.7183,6.3441,0.185602
9.5,11.792,6.35794,0.170135,11.792,6.35794,0.170135
9.55,11.8659,6.37063,0.154668,11.8659,6.37063,0.154668
9.6,11.94,6.38219,0.139201,11.94,6.38219,0.139201
9.65,12.0143,6.39259,0.123734,12.0143,6.39259,0.123734
9.7,12.0887,6.40185,0.108268,12.0887,6.40185,0.108268
9.75,12.1633,6.40996,0.0928009,12.1633,6.40996,0.0928009
9.8,12.2379,6.41691,0.0773341,12.2379,6.41691,0.0773341
9.85,12.3127,6.4227,0.0618672,12.3127,6.4227,0.0618672
9.9,12.3876,6.42734,0.0464004,12.3876,6.42734,0.0464004
9.95,12.4625,6.43082,0.0309336,12.4625,6.43082,0.0309336
